                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.58694,                0.44533,                0.97587,                0.95041,                0.98742,                0.99402,                0.93767,                0.38641,                 0.2234,                 0.8516,              0.0051292,              0.0051292,              0.0051292
                    125,                0.58932,                0.43791,                0.97466,                0.94902,                0.98716,                0.99405,                0.93832,                0.38578,                0.22214,                 0.8511,              0.0050896,              0.0050896,              0.0050896
                    126,                0.58751,                0.43442,                0.97622,                0.95003,                0.98837,                0.99384,                0.93794,                0.38375,                0.22159,                0.84982,                0.00505,                0.00505,                0.00505
                    127,                0.58804,                0.43837,                0.97541,                0.94969,                0.98902,                0.99403,                0.93878,                 0.3821,                0.22142,                0.84904,              0.0050104,              0.0050104,              0.0050104
                    128,                0.58355,                0.43272,                 0.9698,                0.95066,                 0.9884,                0.99404,                0.93888,                0.38062,                0.22128,                0.84827,              0.0049708,              0.0049708,              0.0049708
                    129,                0.58384,                0.43859,                0.97254,                0.95075,                0.98863,                0.99397,                0.93856,                0.37942,                0.22024,                0.84785,              0.0049312,              0.0049312,              0.0049312
                    130,                0.57835,                0.43292,                0.97051,                0.95159,                0.98819,                0.99399,                 0.9395,                0.37829,                0.21954,                0.84726,              0.0048916,              0.0048916,              0.0048916
                    131,                0.58465,                0.43107,                0.97548,                0.95169,                0.98757,                0.99401,                 0.9388,                0.37802,                0.22007,                0.84685,               0.004852,               0.004852,               0.004852
                    132,                0.57902,                0.43132,                0.97065,                0.95143,                0.98772,                0.99406,                  0.939,                0.37664,                 0.2194,                0.84585,              0.0048124,              0.0048124,              0.0048124
                    133,                0.57703,                0.42748,                0.96845,                0.95143,                0.98673,                 0.9941,                0.94139,                0.37537,                0.21866,                0.84522,              0.0047728,              0.0047728,              0.0047728
                    134,                0.57936,                 0.4321,                0.97019,                0.95138,                0.98679,                0.99411,                0.93904,                0.37423,                0.21697,                0.84455,              0.0047332,              0.0047332,              0.0047332
                    135,                0.57766,                0.42611,                0.96923,                0.95223,                 0.9869,                0.99413,                0.93922,                0.37308,                0.21687,                0.84388,              0.0046936,              0.0046936,              0.0046936
                    136,                0.57434,                0.42633,                0.96821,                  0.953,                0.98679,                0.99412,                0.94007,                0.37185,                0.21658,                0.84324,               0.004654,               0.004654,               0.004654
                    137,                0.57141,                0.42679,                0.96823,                0.95416,                0.98749,                0.99416,                0.94044,                0.37064,                0.21454,                0.84251,              0.0046144,              0.0046144,              0.0046144
                    138,                0.57363,                 0.4164,                0.96788,                0.95443,                0.98827,                0.99418,                0.94274,                0.36884,                0.21352,                0.84155,              0.0045748,              0.0045748,              0.0045748
                    139,                 0.5657,                0.41993,                0.96855,                0.95468,                0.98814,                0.99424,                0.94303,                0.36768,                0.21217,                0.84075,              0.0045352,              0.0045352,              0.0045352
                    140,                0.56762,                0.41469,                 0.9656,                0.95501,                0.98779,                0.99424,                0.94237,                0.36659,                0.21198,                0.84037,              0.0044956,              0.0044956,              0.0044956
                    141,                0.56571,                0.41677,                0.96499,                0.95495,                0.98727,                0.99422,                0.94277,                0.36527,                0.21159,                0.83984,               0.004456,               0.004456,               0.004456
